posto;bairro;combustivel;valor;data_coleta
Arara Azul Rede de Postos Ltda;Praia de Itaparica;Diesel;6.69;2026-08-26
Arara Azul Rede de Postos Ltda;Praia de Itaparica;Etanol;4.37;2026-08-26
Arara Azul Rede de Postos Ltda;Praia de Itaparica;Gasolina;6.35;2026-08-19
Arara Azul Rede de Postos Ltda;Praia de Itaparica;Gasolina Aditivada;6.39;2026-08-26
Auto Posto Boulevard Ltda;Praia de Itaparica;Diesel;6.69;2026-08-19
Auto Posto Boulevard Ltda;Praia de Itaparica;Etanol;4.39;2026-08-19
Auto Posto Boulevard Ltda;Praia de Itaparica;Gasolina;6.29;2026-08-19
Auto Posto Boulevard Ltda;Praia de Itaparica;Gasolina Aditivada;6.69;2026-08-19
Auto Posto R M Ltda;Praia de Itaparica;Diesel;6.69;2026-08-24
Auto Posto R M Ltda;Praia de Itaparica;Etanol;4.39;2026-08-24
Auto Posto R M Ltda;Praia de Itaparica;Gasolina;6.29;2026-08-24
Auto Posto R M Ltda;Praia de Itaparica;Gasolina Aditivada;6.69;2026-08-24
Auto Posto de Combustivel Rtt Ltda;Divino Espirito Santo;Diesel;6.97;2026-08-26
Auto Posto de Combustivel Rtt Ltda;Divino Espirito Santo;Etanol;4.97;2026-08-26
Auto Posto de Combustivel Rtt Ltda;Divino Espirito Santo;Gasolina;6.27;2026-08-26
Auto Posto de Combustivel Rtt Ltda;Divino Espirito Santo;Gasolina Aditivada;6.44;2026-08-26
Posto Perim Ltda;Itaparica;Diesel;6.99;2026-08-24
Posto Perim Ltda;Itaparica;Etanol;4.89;2026-08-24
Posto Perim Ltda;Itaparica;Gasolina;6.39;2026-08-24
Posto Perim Ltda;Itaparica;Gasolina Aditivada;6.59;2026-08-24
